Tanggal,RH_avg
06-05-2012,86
07-05-2012,81
08-05-2012,77
09-05-2012,79
10-05-2012,80
11-05-2012,82
12-05-2012,80
13-05-2012,80
14-05-2012,78
15-05-2012,86
16-05-2012,87
17-05-2012,83
18-05-2012,79
19-05-2012,83
20-05-2012,84
21-05-2012,84
22-05-2012,86
23-05-2012,84
24-05-2012,85
25-05-2012,86
26-05-2012,82
27-05-2012,84
28-05-2012,83
29-05-2012,86
30-05-2012,82
31-05-2012,86
01-06-2012,85
02-06-2012,84
03-06-2012,80
04-06-2012,79
05-06-2012,81
06-06-2012,72
07-06-2012,74
08-06-2012,78
09-06-2012,72
10-06-2012,69
11-06-2012,72
12-06-2012,64
13-06-2012,69
14-06-2012,67
15-06-2012,75
16-06-2012,77
17-06-2012,74
18-06-2012,73
19-06-2012,78
20-06-2012,79
21-06-2012,80
22-06-2012,83
23-06-2012,78
24-06-2012,75
25-06-2012,72
26-06-2012,83
27-06-2012,82
28-06-2012,76
29-06-2012,82
30-06-2012,76
01-07-2012,76
02-07-2012,86
03-07-2012,77
04-07-2012,83
05-07-2012,87
06-07-2012,85
07-07-2012,88
08-07-2012,82
09-07-2012,86
10-07-2012,80
11-07-2012,85
12-07-2012,77
13-07-2012,68
14-07-2012,72
15-07-2012,86
16-07-2012,82
17-07-2012,82
18-07-2012,83
19-07-2012,80
20-07-2012,75
21-07-2012,75
22-07-2012,82
23-07-2012,78
24-07-2012,78
25-07-2012,69
26-07-2012,75
27-07-2012,69
28-07-2012,69
29-07-2012,71
30-07-2012,71
31-07-2012,70
01-08-2012,79
02-08-2012,86
03-08-2012,77
04-08-2012,83
05-08-2012,81
06-08-2012,79
07-08-2012,77
08-08-2012,77
09-08-2012,78
10-08-2012,78
11-08-2012,76
12-08-2012,80
13-08-2012,82
14-08-2012,77
15-08-2012,80
16-08-2012,76
17-08-2012,78
18-08-2012,79
19-08-2012,74
20-08-2012,86
21-08-2012,84
22-08-2012,78
23-08-2012,81
24-08-2012,85
25-08-2012,80
26-08-2012,80
27-08-2012,79
28-08-2012,83
29-08-2012,81
30-08-2012,82
31-08-2012,75
01-09-2012,74
02-09-2012,71
03-09-2012,78
04-09-2012,85
05-09-2012,84
06-09-2012,86
07-09-2012,78
08-09-2012,82
09-09-2012,77
10-09-2012,74
11-09-2012,86
